manufacturer,model_name,model_year,body_type,fuel_type,transmission,power_(bhp),engine_(cc),mileage,kilometers,previous_owners,insurance_type,seats,city,price_in_lakhs_(₹)
Toyota,Fortuner,2021,SUV,Diesel,Manual,174.5,2755.0,14.24,80000.0,2,third_party_insurance,7,bangalore,35.0
Hyundai,i20,2013,Hatchback,Petrol,Manual,82.85,1197.0,18.5,36359.0,1,Comprehensive,5,bangalore,4.4
Tata,Harrier,2019,SUV,Diesel,Manual,138.1,1956.0,17.0,70000.0,2,third_party_insurance,5,bangalore,14.6
MG,Hector,2022,SUV,Petrol,Automatic,141.0,1451.0,15.098529411764707,7500.0,1,Comprehensive,5,bangalore,20.41
Hyundai,Verna,2017,Sedan,Petrol,Automatic,121.3,1591.0,17.0,30301.0,1,Comprehensive,5,bangalore,10.33
Hyundai,i10,2010,Hatchback,Petrol,Manual,78.9,1197.0,20.36,66000.0,1,Comprehensive,5,bangalore,2.75
Hyundai,i20,2017,Hatchback,Petrol,Manual,81.83,1197.0,18.6,56010.0,1,Comprehensive,5,bangalore,6.76
Mercedes-Benz,GLC,2017,SUV,Diesel,Automatic,170.0,2143.0,17.9,47000.0,1,Comprehensive,5,bangalore,42.9
Nissan,Terrano,2014,SUV,Diesel,Manual,108.5,1461.0,19.01,60000.0,2,third_party_insurance,5,bangalore,6.5
Maruti,Swift,2014,Hatchback,Diesel,Manual,74.0,1248.0,25.2,83829.0,1,third_party_insurance,5,bangalore,4.44
Renault,KWID,2020,Hatchback,Petrol,Automatic,67.0,999.0,22.0,10000.0,1,third_party_insurance,5,bangalore,5.1
Renault,Duster,2016,SUV,Diesel,Automatic,108.45,1461.0,19.6,35000.0,2,Comprehensive,5,bangalore,9.25
Honda,City,2019,Sedan,Petrol,Automatic,117.6,1497.0,18.0,51116.0,2,Comprehensive,5,bangalore,10.24
Skoda,Rapid,2016,Sedan,Diesel,Manual,103.52,1498.0,21.14,80000.0,3,third_party_insurance,5,bangalore,5.0
Volkswagen,Polo,2017,Hatchback,Petrol,Automatic,103.5,1197.0,17.21,40000.0,2,third_party_insurance,5,bangalore,9.95
Honda,CR-V,2012,SUV,Petrol,Automatic,158.8,2354.0,11.1,85565.0,2,Comprehensive,5,bangalore,9.35
Ford,Ecosport,2018,SUV,Petrol,Manual,121.36,1497.0,17.0,36916.0,1,Comprehensive,5,bangalore,8.34
Volkswagen,Polo,2015,Hatchback,Diesel,Manual,88.8,1498.0,20.14,90000.0,1,third_party_insurance,5,bangalore,5.6
Maruti,Swift,2012,Hatchback,Petrol,Manual,88.5,1197.0,22.38,112795.0,1,Comprehensive,5,bangalore,4.54
Mercedes-Benz,A-Class Limousine,2021,Sedan,Petrol,Automatic,160.92,1332.0,12.79725579322638,11000.0,1,Comprehensive,5,bangalore,36.9
Toyota,Innova,2014,MUV,Petrol,Manual,130.1,1998.0,11.4,120000.0,2,third_party_insurance,7,bangalore,11.0
Honda,Brio,2016,Hatchback,Petrol,Manual,86.8,1198.0,19.4,36685.0,2,Comprehensive,5,bangalore,4.62
Hyundai,Santa Fe,2012,SUV,Diesel,Automatic,194.3,2199.0,11.72,120000.0,2,third_party_insurance,7,bangalore,9.0
BMW,6 Series,2022,Sedan,Petrol,Automatic,254.79,1998.0,13.32,4000.0,1,Comprehensive,4,bangalore,79.0
Maruti,Baleno,2019,Hatchback,Petrol,Automatic,83.1,1197.0,21.4,32184.0,2,third_party_insurance,5,bangalore,8.43
Maruti,Baleno RS,2018,Hatchback,Petrol,Manual,100.5,998.0,21.1,32279.0,1,Comprehensive,5,bangalore,7.99
Hyundai,i20,2015,Hatchback,Petrol,Manual,81.83,1197.0,18.6,59698.0,1,Comprehensive,5,bangalore,5.76
Renault,Captur,2018,SUV,Diesel,Manual,108.45,1461.0,20.37,46071.0,1,Comprehensive,5,bangalore,9.49
Maruti,Vitara Brezza,2017,SUV,Diesel,Manual,88.5,1248.0,24.3,90000.0,1,third_party_insurance,5,bangalore,7.95
Hyundai,Venue,2019,SUV,Petrol,Manual,118.35,998.0,18.27,9554.0,1,third_party_insurance,5,bangalore,10.85
Jeep,Compass,2022,SUV,Petrol,Automatic,160.77,1368.0,14.1,14000.0,1,Comprehensive,5,bangalore,25.9
Renault,Duster,2013,SUV,Diesel,Manual,83.8,1461.0,20.45,74499.0,2,third_party_insurance,5,bangalore,5.16
Ford,Ecosport,2017,SUV,Petrol,Automatic,121.36,1497.0,14.8,56211.0,2,Comprehensive,5,bangalore,7.77
Honda,Jazz,2019,Hatchback,Petrol,Manual,88.7,1199.0,18.2,9001.0,1,Comprehensive,5,bangalore,7.53
Mahindra,XUV500,2017,SUV,Diesel,Automatic,140.0,1997.0,16.0,65457.0,2,third_party_insurance,7,bangalore,12.26
Honda,Jazz,2017,Hatchback,Petrol,Manual,88.7,1199.0,18.7,23682.0,1,Comprehensive,5,bangalore,7.25
Hyundai,Verna,2020,Sedan,Diesel,Manual,126.2,1582.0,22.0,50000.0,1,third_party_insurance,5,bangalore,11.5
Maruti,Swift,2015,Hatchback,Diesel,Manual,74.0,1248.0,25.2,134557.0,2,Comprehensive,5,bangalore,6.29
Maruti,Swift Dzire,2013,Sedan,Petrol,Manual,88.5,1197.0,22.41,96567.0,2,Comprehensive,5,bangalore,4.47
Maruti,Ertiga,2014,MUV,Diesel,Manual,88.8,1248.0,20.77,83007.0,2,Comprehensive,7,bangalore,7.86
Honda,Jazz,2018,Hatchback,Petrol,Manual,88.7,1199.0,18.7,34000.0,1,Comprehensive,5,bangalore,7.45
Hyundai,Grand i10,2014,Hatchback,Petrol,Automatic,82.0,1197.0,18.9,81634.0,1,Comprehensive,5,bangalore,4.9
Honda,City,2017,Sedan,Petrol,Automatic,117.6,1497.0,18.0,57284.0,2,Comprehensive,5,bangalore,9.42
Ford,Ecosport,2016,SUV,Petrol,Automatic,110.4,1499.0,15.63,70000.0,2,third_party_insurance,5,bangalore,6.75
Honda,Brio,2013,Hatchback,Petrol,Manual,86.8,1198.0,19.4,70000.0,2,third_party_insurance,5,bangalore,3.3
Toyota,Yaris,2018,Sedan,Petrol,Automatic,105.5,1496.0,17.8,46429.0,2,third_party_insurance,5,bangalore,8.75
Maruti,Baleno,2017,Hatchback,Petrol,Manual,83.1,1197.0,21.4,17624.0,1,Comprehensive,5,bangalore,8.69
Volkswagen,Vento,2012,Sedan,Diesel,Manual,103.6,1598.0,20.54,100000.0,2,third_party_insurance,5,bangalore,4.25
Honda,City,2019,Sedan,Petrol,Manual,117.6,1497.0,17.4,30000.0,1,third_party_insurance,5,bangalore,10.7
Ford,Ecosport,2018,SUV,Petrol,Manual,120.69,1496.0,15.9,49690.0,2,third_party_insurance,5,bangalore,10.25
Mahindra,XUV500,2016,SUV,Diesel,Manual,140.0,2179.0,16.0,110000.0,1,third_party_insurance,7,bangalore,10.0
Fiat,Linea,2009,Sedan,Petrol,Manual,88.7688,1368.0,16.0,50000.0,1,third_party_insurance,5,bangalore,3.75
Ford,Ecosport,2018,SUV,Petrol,Automatic,121.36,1497.0,14.8,55702.0,1,Comprehensive,5,bangalore,8.44
Hyundai,i20 Active,2016,Hatchback,Diesel,Manual,88.73,1396.0,21.19,45046.0,1,third_party_insurance,5,bangalore,7.64
Maruti,Ritz,2014,Hatchback,Petrol,Manual,85.8,1197.0,18.5,53000.0,2,third_party_insurance,5,bangalore,4.2
Maruti,Baleno,2016,Hatchback,Diesel,Manual,74.0,1248.0,27.39,94695.0,1,third_party_insurance,5,bangalore,6.84
Maruti,Baleno,2019,Hatchback,Petrol,Manual,83.1,1197.0,21.4,22162.0,1,zero_depreciation,5,bangalore,8.03
Hyundai,Santro Xing,2010,Hatchback,Petrol,Manual,62.1,1086.0,17.92,70000.0,2,third_party_insurance,5,bangalore,3.2
Honda,City,2017,Sedan,Diesel,Manual,98.6,1498.0,26.0,115331.0,1,Comprehensive,5,bangalore,8.04
Mercedes-Benz,E-Class,2013,Sedan,Diesel,Automatic,170.0,2148.0,10.0,70000.0,2,third_party_insurance,5,bangalore,14.0
Maruti,Swift,2016,Hatchback,Petrol,Manual,88.5,1197.0,22.38,42233.0,2,Comprehensive,5,bangalore,5.48
Hyundai,Grand i10,2019,Hatchback,Petrol,Manual,81.86,1197.0,18.9,20941.0,1,Comprehensive,5,bangalore,6.19
Maruti,Vitara Brezza,2018,SUV,Diesel,Manual,88.5,1248.0,24.3,50000.0,2,third_party_insurance,5,bangalore,10.0
Honda,WR-V,2018,SUV,Petrol,Manual,88.7,1199.0,17.5,46602.0,1,Comprehensive,5,bangalore,8.65
Mahindra,Ssangyong Rexton,2014,SUV,Diesel,Automatic,184.0,2696.0,11.18,50000.0,2,third_party_insurance,7,bangalore,10.0
Maruti,Swift,2014,Hatchback,Diesel,Manual,74.0,1248.0,25.2,104000.0,2,Comprehensive,5,bangalore,5.35
